Año;Departamento;Municipio;grupo_etario;sexo;cantidad
2012;ALTA VERAPAZ;CHISEC;<1m;F;1
2012;ALTA VERAPAZ;COBÁN;<1m;F;4
2012;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;<1m;F;2
2012;ALTA VERAPAZ;PANZOS;<1m;F;8
2012;ALTA VERAPAZ;SAN CRISTÓBAL VERAPAZ;<1m;F;1
2012;ALTA VERAPAZ;SAN PEDRO CARCHÁ;<1m;F;1
2012;ALTA VERAPAZ;SANTA CRUZ VERAPAZ;<1m;F;1
2012;ALTA VERAPAZ;SENAHÚ;<1m;F;1
2012;BAJA VERAPAZ;PURULHÁ;<1m;F;4
2012;CHIMALTENANGO;PATZICÍA;<1m;F;1
2012;CHIMALTENANGO;SAN JUAN COMALAPA;<1m;F;1
2012;CHIMALTENANGO;SAN MARTÍN JILOTEPEQUE;<1m;F;1
2012;CHIMALTENANGO;TECPÁN GUATEMALA;<1m;F;1
2012;CHIQUIMULA;CAMOTÁN;<1m;F;5
2012;CHIQUIMULA;CHIQUIMULA;<1m;F;2
2012;CHIQUIMULA;JOCOTÁN;<1m;F;1
2012;CHIQUIMULA;OLOPA;<1m;F;2
2012;CHIQUIMULA;SAN JOSÉ LA ARADA;<1m;F;1
2012;EL PETEN;EL CHAL;<1m;F;1
2012;EL PETEN;FLORES;<1m;F;1
2012;EL PETEN;LA LIBERTAD;<1m;F;2
2012;EL PETEN;MELCHOR DE MENCOS;<1m;F;1
2012;EL PETEN;SAN BENITO;<1m;F;1
2012;GUATEMALA;FRAIJANES;<1m;F;1
2012;GUATEMALA;GUATEMALA;<1m;F;5
2012;GUATEMALA;SAN JOSÉ DEL GOLFO;<1m;F;1
2012;HUEHUETENANGO;CHIANTLA;<1m;F;2
2012;HUEHUETENANGO;SAN SEBASTIÁN HUEHUETENANGO;<1m;F;1
2012;JALAPA;SAN PEDRO PINULA;<1m;F;2
2012;JUTIAPA;CONGUACO;<1m;F;2
2012;JUTIAPA;JUTIAPA;<1m;F;4
2012;JUTIAPA;MOYUTA;<1m;F;2
2012;QUETZALTENANGO;CONCEPCIÓN CHIQUIRICHAPA;<1m;F;1
2012;QUETZALTENANGO;QUETZALTENANGO;<1m;F;1
2012;QUICHE;CHICAMÁN;<1m;F;1
2012;QUICHE;CHICHICASTENANGO;<1m;F;2
2012;QUICHE;CUNÉN;<1m;F;6
2012;QUICHE;NEBAJ;<1m;F;1
2012;QUICHE;SAN JUAN COTZAL;<1m;F;1
2012;QUICHE;SANTA CRUZ DEL QUICHÉ;<1m;F;2
2012;RETALHULEU;RETALHULEU;<1m;F;2
2012;SACATEPEQUEZ;SANTA MARÍA DE JESÚS;<1m;F;2
2012;SAN MARCOS;CONCEPCIÓN TUTUAPA;<1m;F;1
2012;SAN MARCOS;EL QUETZAL;<1m;F;2
2012;SAN MARCOS;NUEVO PROGRESO;<1m;F;1
2012;SAN MARCOS;SAN PEDRO SACATEPÉQUEZ;<1m;F;2
2012;SAN MARCOS;TEJUTLA;<1m;F;3
2012;SANTA ROSA;CUILAPA;<1m;F;1
2012;SOLOLA;SAN LUCAS TOLIMÁN;<1m;F;1
2012;SOLOLA;SOLOLÁ;<1m;F;2
2012;ZACAPA;CABAÑAS;<1m;F;1
2012;ZACAPA;LA UNIÓN;<1m;F;2
2012;ZACAPA;ZACAPA;<1m;F;3
2013;ALTA VERAPAZ;COBÁN;<1m;F;2
2013;ALTA VERAPAZ;PANZOS;<1m;F;3
2013;ALTA VERAPAZ;SAN PEDRO CARCHÁ;<1m;F;1
2013;ALTA VERAPAZ;SANTA CRUZ VERAPAZ;<1m;F;4
2013;ALTA VERAPAZ;SENAHÚ;<1m;F;1
2013;ALTA VERAPAZ;TACTIC;<1m;F;1
2013;ALTA VERAPAZ;TAMAHÚ;<1m;F;1
2013;BAJA VERAPAZ;CUBULCO;<1m;F;1
2013;BAJA VERAPAZ;PURULHÁ;<1m;F;5
2013;BAJA VERAPAZ;RABINAL;<1m;F;1
2013;CHIMALTENANGO;CHIMALTENANGO;<1m;F;1
2013;CHIMALTENANGO;POCHUTA;<1m;F;1
2013;CHIMALTENANGO;SAN ANDRÉS ITZAPA;<1m;F;2
2013;CHIMALTENANGO;SAN JOSÉ POAQUIL;<1m;F;1
2013;CHIMALTENANGO;SANTA APOLONIA;<1m;F;1
2013;CHIMALTENANGO;TECPÁN GUATEMALA;<1m;F;2
2013;CHIMALTENANGO;YEPOCAPA;<1m;F;2
2013;CHIQUIMULA;CAMOTÁN;<1m;F;5
2013;CHIQUIMULA;CHIQUIMULA;<1m;F;14
2013;CHIQUIMULA;ESQUIPULAS;<1m;F;2
2013;CHIQUIMULA;JOCOTÁN;<1m;F;5
2013;CHIQUIMULA;OLOPA;<1m;F;1
2013;CHIQUIMULA;QUETZALTEPEQUE;<1m;F;1
2013;CHIQUIMULA;SAN JOSÉ LA ARADA;<1m;F;1
2013;CHIQUIMULA;SAN JUAN LA ERMITA;<1m;F;1
2013;EL PETEN;LAS CRUCES;<1m;F;1
2013;EL PETEN;MELCHOR DE MENCOS;<1m;F;1
2013;EL PETEN;POPTÚN;<1m;F;6
2013;EL PETEN;SAN BENITO;<1m;F;1
2013;EL PETEN;SAN LUIS;<1m;F;3
2013;EL PETEN;SAYAXCHÉ;<1m;F;3
2013;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;<1m;F;2
2013;EL PROGRESO;SANARATE;<1m;F;2
2013;ESCUINTLA;ESCUINTLA;<1m;F;2
2013;ESCUINTLA;PUERTO DE SAN JOSÉ;<1m;F;1
2013;GUATEMALA;AMATITLÁN;<1m;F;1
2013;GUATEMALA;GUATEMALA;<1m;F;2
2013;GUATEMALA;MIXCO;<1m;F;2
2013;GUATEMALA;SAN PEDRO AYAMPUC;<1m;F;1
2013;GUATEMALA;VILLA NUEVA;<1m;F;1
2013;HUEHUETENANGO;BARILLAS;<1m;F;1
2013;HUEHUETENANGO;CHIANTLA;<1m;F;1
2013;HUEHUETENANGO;COLOTENANGO;<1m;F;1
2013;HUEHUETENANGO;LA DEMOCRACIA;<1m;F;1
2013;HUEHUETENANGO;SAN JUAN IXCOY;<1m;F;1
2013;HUEHUETENANGO;SAN PEDRO SOLOMA;<1m;F;1
2013;IZABAL;EL ESTOR;<1m;F;1
2013;JALAPA;JALAPA;<1m;F;4
2013;JALAPA;SAN MANUEL CHAPARRÓN;<1m;F;1
2013;JALAPA;SAN PEDRO PINULA;<1m;F;1
2013;JUTIAPA;JUTIAPA;<1m;F;4
2013;JUTIAPA;SAN JOSÉ ACATEMPA;<1m;F;1
2013;QUETZALTENANGO;CONCEPCIÓN CHIQUIRICHAPA;<1m;F;2
2013;QUETZALTENANGO;EL PALMAR;<1m;F;1
2013;QUETZALTENANGO;QUETZALTENANGO;<1m;F;3
2013;QUICHE;CHICHÉ;<1m;F;1
2013;QUICHE;IXCÁN;<1m;F;1
2013;QUICHE;JOYABAJ;<1m;F;2
2013;QUICHE;SAN ANTONIO ILOTENANGO;<1m;F;2
2013;QUICHE;SANTA CRUZ DEL QUICHÉ;<1m;F;2
2013;RETALHULEU;RETALHULEU;<1m;F;1
2013;SACATEPEQUEZ;SANTA MARÍA DE JESÚS;<1m;F;2
2013;SACATEPEQUEZ;SANTIAGO SACATEPÉQUEZ;<1m;F;1
2013;SAN MARCOS;CONCEPCIÓN TUTUAPA;<1m;F;1
2013;SAN MARCOS;LA REFORMA;<1m;F;1
2013;SAN MARCOS;PAJAPITA;<1m;F;1
2013;SAN MARCOS;SAN MIGUEL IXTAHUACÁN;<1m;F;1
2013;SAN MARCOS;SAN PEDRO SACATEPÉQUEZ;<1m;F;1
2013;SANTA ROSA;NUEVA SANTA ROSA;<1m;F;2
2013;SANTA ROSA;TAXISCO;<1m;F;1
2013;SOLOLA;SAN LUCAS TOLIMÁN;<1m;F;2
2013;SOLOLA;SOLOLÁ;<1m;F;1
2013;ZACAPA;CABAÑAS;<1m;F;1
2013;ZACAPA;GUALÁN;<1m;F;1
2013;ZACAPA;ZACAPA;<1m;F;4
2014;ALTA VERAPAZ;COBÁN;<1m;F;2
2014;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;<1m;F;3
2014;ALTA VERAPAZ;LA TINTA;<1m;F;1
2014;ALTA VERAPAZ;SAN PEDRO CARCHÁ;<1m;F;2
2014;BAJA VERAPAZ;PURULHÁ;<1m;F;2
2014;CHIMALTENANGO;SAN JOSÉ POAQUIL;<1m;F;1
2014;CHIMALTENANGO;SANTA APOLONIA;<1m;F;1
2014;CHIQUIMULA;CAMOTÁN;<1m;F;6
2014;CHIQUIMULA;CHIQUIMULA;<1m;F;2
2014;CHIQUIMULA;JOCOTÁN;<1m;F;7
2014;CHIQUIMULA;SAN JACINTO;<1m;F;1
2014;CHIQUIMULA;SAN JUAN LA ERMITA;<1m;F;2
2014;EL PETEN;EL CHAL;<1m;F;1
2014;EL PETEN;POPTÚN;<1m;F;1
2014;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;<1m;F;2
2014;ESCUINTLA;TIQUISATE;<1m;F;1
2014;GUATEMALA;AMATITLÁN;<1m;F;2
2014;GUATEMALA;CHINAUTLA;<1m;F;1
2014;GUATEMALA;FRAIJANES;<1m;F;1
2014;GUATEMALA;GUATEMALA;<1m;F;6
2014;HUEHUETENANGO;SAN PEDRO SOLOMA;<1m;F;1
2014;JALAPA;JALAPA;<1m;F;2
2014;JALAPA;SAN PEDRO PINULA;<1m;F;1
2014;JUTIAPA;COMAPA;<1m;F;1
2014;JUTIAPA;JUTIAPA;<1m;F;4
2014;QUETZALTENANGO;EL PALMAR;<1m;F;1
2014;QUETZALTENANGO;SAN JUAN OSTUNCALCO;<1m;F;1
2014;QUICHE;SACAPULAS;<1m;F;4
2014;QUICHE;SAN ANTONIO ILOTENANGO;<1m;F;1
2014;QUICHE;SAN BARTOLOMÉ JOCOTENANGO;<1m;F;2
2014;QUICHE;SAN MIGUEL USPANTÁN;<1m;F;1
2014;QUICHE;SANTA CRUZ DEL QUICHÉ;<1m;F;2
2014;RETALHULEU;RETALHULEU;<1m;F;2
2014;SACATEPEQUEZ;ANTIGUA GUATEMALA;<1m;F;3
2014;SACATEPEQUEZ;SUMPANGO;<1m;F;2
2014;SAN MARCOS;ESQUIPULAS PALO GORDO;<1m;F;1
2014;SAN MARCOS;NUEVO PROGRESO;<1m;F;1
2014;SAN MARCOS;SAN MARCOS;<1m;F;2
2014;SANTA ROSA;CASILLAS;<1m;F;1
2014;SANTA ROSA;SANTA CRUZ NARANJO;<1m;F;1
2014;SOLOLA;SANTA CLARA LA LAGUNA;<1m;F;1
2014;SUCHITEPEQUEZ;RÍO BRAVO;<1m;F;1
2014;ZACAPA;GUALÁN;<1m;F;1
2014;ZACAPA;ZACAPA;<1m;F;3
2015;ALTA VERAPAZ;COBÁN;<1m;F;4
2015;ALTA VERAPAZ;LANQUÍN;<1m;F;1
2015;ALTA VERAPAZ;LA TINTA;<1m;F;1
2015;ALTA VERAPAZ;RAXRUHA;<1m;F;1
2015;ALTA VERAPAZ;SAN PEDRO CARCHÁ;<1m;F;4
2015;ALTA VERAPAZ;TACTIC;<1m;F;1
2015;BAJA VERAPAZ;CUBULCO;<1m;F;1
2015;BAJA VERAPAZ;PURULHÁ;<1m;F;1
2015;BAJA VERAPAZ;RABINAL;<1m;F;1
2015;CHIMALTENANGO;CHIMALTENANGO;<1m;F;13
2015;CHIMALTENANGO;PATZÚN;<1m;F;1
2015;CHIMALTENANGO;SANTA APOLONIA;<1m;F;1
2015;CHIMALTENANGO;YEPOCAPA;<1m;F;1
2015;CHIQUIMULA;CAMOTÁN;<1m;F;1
2015;CHIQUIMULA;CHIQUIMULA;<1m;F;1
2015;CHIQUIMULA;JOCOTÁN;<1m;F;2
2015;EL PETEN;SAN ANDRÉS;<1m;F;1
2015;EL PROGRESO;GUASTATOYA;<1m;F;1
2015;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;<1m;F;4
2015;ESCUINTLA;ESCUINTLA;<1m;F;1
2015;ESCUINTLA;TIQUISATE;<1m;F;1
2015;GUATEMALA;CHINAUTLA;<1m;F;1
2015;GUATEMALA;GUATEMALA;<1m;F;1
2015;GUATEMALA;MIXCO;<1m;F;1
2015;GUATEMALA;SAN JOSÉ PINULA;<1m;F;1
2015;GUATEMALA;VILLA CANALES;<1m;F;3
2015;GUATEMALA;VILLA NUEVA;<1m;F;1
2015;IZABAL;EL ESTOR;<1m;F;1
2015;IZABAL;LIVINGSTON;<1m;F;1
2015;JALAPA;JALAPA;<1m;F;1
2015;JALAPA;SAN PEDRO PINULA;<1m;F;1
2015;JUTIAPA;JUTIAPA;<1m;F;1
2015;QUICHE;CHICHICASTENANGO;<1m;F;1
2015;QUICHE;CUNÉN;<1m;F;1
2015;QUICHE;PATZITÉ;<1m;F;1
2015;QUICHE;SANTA CRUZ DEL QUICHÉ;<1m;F;1
2015;RETALHULEU;RETALHULEU;<1m;F;2
2015;SACATEPEQUEZ;ALOTENANGO;<1m;F;1
2015;SAN MARCOS;CONCEPCIÓN TUTUAPA;<1m;F;1
2015;SAN MARCOS;NUEVO PROGRESO;<1m;F;1
2015;SAN MARCOS;SAN CRISTÓBAL CUCHO;<1m;F;1
2015;SOLOLA;SANTIAGO ATITLÁN;<1m;F;1
2015;ZACAPA;ZACAPA;<1m;F;2
2016;ALTA VERAPAZ;COBÁN;<1m;F;1
2016;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;<1m;F;1
2016;ALTA VERAPAZ;LA TINTA;<1m;F;2
2016;ALTA VERAPAZ;SAN CRISTÓBAL VERAPAZ;<1m;F;1
2016;BAJA VERAPAZ;GRANADOS;<1m;F;1
2016;CHIMALTENANGO;TECPÁN GUATEMALA;<1m;F;2
2016;CHIQUIMULA;CAMOTÁN;<1m;F;2
2016;CHIQUIMULA;CHIQUIMULA;<1m;F;1
2016;EL PETEN;SAN LUIS;<1m;F;1
2016;ESCUINTLA;TIQUISATE;<1m;F;1
2016;GUATEMALA;AMATITLÁN;<1m;F;2
2016;GUATEMALA;CHINAUTLA;<1m;F;1
2016;GUATEMALA;GUATEMALA;<1m;F;2
2016;GUATEMALA;MIXCO;<1m;F;3
2016;HUEHUETENANGO;BARILLAS;<1m;F;1
2016;HUEHUETENANGO;COLOTENANGO;<1m;F;1
2016;IZABAL;LIVINGSTON;<1m;F;2
2016;JUTIAPA;MOYUTA;<1m;F;1
2016;QUICHE;CHICHICASTENANGO;<1m;F;1
2016;SACATEPEQUEZ;SANTA MARÍA DE JESÚS;<1m;F;1
2016;SACATEPEQUEZ;SUMPANGO;<1m;F;1
2016;SAN MARCOS;PAJAPITA;<1m;F;1
2016;SAN MARCOS;SAN PABLO;<1m;F;2
2016;SAN MARCOS;SIBINAL;<1m;F;1
2016;SAN MARCOS;TEJUTLA;<1m;F;1
2016;SANTA ROSA;GUAZACAPÁN;<1m;F;1
2017;ALTA VERAPAZ;LA TINTA;<1m;F;2
2017;ALTA VERAPAZ;TUCURÚ;<1m;F;1
2017;CHIMALTENANGO;TECPÁN GUATEMALA;<1m;F;1
2017;CHIQUIMULA;CAMOTÁN;<1m;F;4
2017;CHIQUIMULA;CHIQUIMULA;<1m;F;2
2017;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;<1m;F;1
2017;EL PROGRESO;SAN ANTONIO LA PAZ;<1m;F;1
2017;ESCUINTLA;TIQUISATE;<1m;F;1
2017;GUATEMALA;AMATITLÁN;<1m;F;1
2017;GUATEMALA;GUATEMALA;<1m;F;13
2017;IZABAL;LOS AMATES;<1m;F;1
2017;IZABAL;PUERTO BARRIOS;<1m;F;2
2017;JALAPA;JALAPA;<1m;F;1
2017;QUICHE;CHINIQUE;<1m;F;1
2017;QUICHE;SAN MIGUEL USPANTÁN;<1m;F;4
2017;QUICHE;SANTA CRUZ DEL QUICHÉ;<1m;F;1
2017;SACATEPEQUEZ;ANTIGUA GUATEMALA;<1m;F;1
2017;SACATEPEQUEZ;SANTA MARÍA DE JESÚS;<1m;F;1
2017;SAN MARCOS;EL TUMBADOR;<1m;F;1
2017;SAN MARCOS;LA REFORMA;<1m;F;1
2017;SAN MARCOS;MALACATÁN;<1m;F;1
2017;SAN MARCOS;SAN PABLO;<1m;F;1
2017;SANTA ROSA;CASILLAS;<1m;F;1
2017;ZACAPA;GUALÁN;<1m;F;1
2018;ALTA VERAPAZ;TAMAHÚ;<1m;F;1
2018;CHIQUIMULA;JOCOTÁN;<1m;F;1
2018;CHIQUIMULA;SAN JUAN LA ERMITA;<1m;F;1
2018;EL PETEN;SAN BENITO;<1m;F;1
2018;ESCUINTLA;LA GOMERA;<1m;F;1
2018;ESCUINTLA;PALÍN;<1m;F;1
2018;GUATEMALA;GUATEMALA;<1m;F;50
2018;GUATEMALA;MIXCO;<1m;F;1
2018;GUATEMALA;SAN JUAN SACATEPÉQUEZ;<1m;F;2
2018;GUATEMALA;SAN MIGUEL PETAPA;<1m;F;1
2018;GUATEMALA;SANTA CATARINA PINULA;<1m;F;1
2018;HUEHUETENANGO;LA DEMOCRACIA;<1m;F;1
2018;IZABAL;PUERTO BARRIOS;<1m;F;1
2018;JALAPA;JALAPA;<1m;F;1
2018;JUTIAPA;JUTIAPA;<1m;F;1
2018;QUICHE;CHINIQUE;<1m;F;1
2018;QUICHE;SAN MIGUEL USPANTÁN;<1m;F;2
2018;SAN MARCOS;COMITANCILLO;<1m;F;1
2018;SAN MARCOS;EL RODEO;<1m;F;1
2018;SAN MARCOS;TAJUMULCO;<1m;F;1
2018;SOLOLA;SANTA CATARINA PALOPÓ;<1m;F;1
2018;SOLOLA;SANTIAGO ATITLÁN;<1m;F;1
2018;ZACAPA;CABAÑAS;<1m;F;1
2019;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;<1m;F;3
2019;ALTA VERAPAZ;LA TINTA;<1m;F;7
2019;ALTA VERAPAZ;PANZOS;<1m;F;1
2019;ALTA VERAPAZ;SAN CRISTÓBAL VERAPAZ;<1m;F;1
2019;ALTA VERAPAZ;TUCURÚ;<1m;F;1
2019;CHIMALTENANGO;SAN JUAN COMALAPA;<1m;F;1
2019;CHIQUIMULA;CAMOTÁN;<1m;F;2
2019;CHIQUIMULA;JOCOTÁN;<1m;F;1
2019;EL PETEN;SAN BENITO;<1m;F;1
2019;GUATEMALA;GUATEMALA;<1m;F;4
2019;GUATEMALA;MIXCO;<1m;F;1
2019;HUEHUETENANGO;BARILLAS;<1m;F;1
2019;HUEHUETENANGO;LA DEMOCRACIA;<1m;F;1
2019;JALAPA;JALAPA;<1m;F;1
2019;JUTIAPA;JUTIAPA;<1m;F;2
2019;QUICHE;NEBAJ;<1m;F;2
2019;QUICHE;ZACUALPA;<1m;F;1
