Año;Departamento;Municipio;grupo_etario;sexo;cantidad
2012;ALTA VERAPAZ;CHISEC;<1m;F;1
2012;ALTA VERAPAZ;SANTA CRUZ VERAPAZ;<1m;F;2
2012;CHIMALTENANGO;POCHUTA;<1m;F;1
2012;ESCUINTLA;GUANAGAZAPA;<1m;F;1
2012;ESCUINTLA;LA DEMOCRACIA;<1m;F;1
2012;ESCUINTLA;MASAGUA;<1m;F;1
2012;GUATEMALA;CHINAUTLA;<1m;F;1
2012;GUATEMALA;FRAIJANES;<1m;F;1
2012;GUATEMALA;SANTA CATARINA PINULA;<1m;F;1
2012;GUATEMALA;VILLA NUEVA;<1m;F;1
2012;HUEHUETENANGO;COLOTENANGO;<1m;F;2
2012;QUICHE;SAN JUAN COTZAL;<1m;F;1
2012;QUICHE;SANTA CRUZ DEL QUICHÉ;<1m;F;1
2012;TOTONICAPAN;SAN ANDRÉS XECUL;<1m;F;1
2012;TOTONICAPAN;SAN CRISTÓBAL TOTONICAPÁN;<1m;F;1
2013;ALTA VERAPAZ;CAHABÓN;<1m;F;1
2013;ALTA VERAPAZ;CHAHAL;<1m;F;2
2013;ALTA VERAPAZ;CHISEC;<1m;F;6
2013;ALTA VERAPAZ;PANZOS;<1m;F;4
2013;ALTA VERAPAZ;SAN PEDRO CARCHÁ;<1m;F;1
2013;CHIMALTENANGO;POCHUTA;<1m;F;2
2013;CHIMALTENANGO;SAN JUAN COMALAPA;<1m;F;2
2013;CHIMALTENANGO;TECPÁN GUATEMALA;<1m;F;28
2013;EL PETEN;DOLORES;<1m;F;4
2013;ESCUINTLA;MASAGUA;<1m;F;1
2013;ESCUINTLA;SANTA LUCÍA COTZUMALGUAPA;<1m;F;4
2013;GUATEMALA;CHINAUTLA;<1m;F;1
2013;GUATEMALA;FRAIJANES;<1m;F;1
2013;GUATEMALA;MIXCO;<1m;F;1
2013;GUATEMALA;SAN JOSÉ DEL GOLFO;<1m;F;3
2013;GUATEMALA;SAN JOSÉ PINULA;<1m;F;1
2013;GUATEMALA;SAN PEDRO AYAMPUC;<1m;F;2
2013;GUATEMALA;SANTA CATARINA PINULA;<1m;F;1
2013;GUATEMALA;VILLA NUEVA;<1m;F;1
2013;HUEHUETENANGO;BARILLAS;<1m;F;1
2013;HUEHUETENANGO;SAN GASPAR IXCHIL;<1m;F;1
2013;HUEHUETENANGO;SAN RAFAEL PETZAL;<1m;F;1
2013;QUETZALTENANGO;HUITÁN;<1m;F;1
2013;RETALHULEU;CHAMPERICO;<1m;F;1
2013;SANTA ROSA;SANTA CRUZ NARANJO;<1m;F;1
2013;TOTONICAPAN;SAN ANDRÉS XECUL;<1m;F;2
2013;TOTONICAPAN;TOTONICAPÁN;<1m;F;1
2014;ALTA VERAPAZ;CHISEC;<1m;F;1
2014;ALTA VERAPAZ;COBÁN;<1m;F;2
2014;ALTA VERAPAZ;SENAHÚ;<1m;F;1
2014;BAJA VERAPAZ;CUBULCO;<1m;F;1
2014;CHIMALTENANGO;CHIMALTENANGO;<1m;F;3
2014;CHIMALTENANGO;PARRAMOS;<1m;F;1
2014;CHIMALTENANGO;PATZÚN;<1m;F;1
2014;CHIMALTENANGO;SAN JUAN COMALAPA;<1m;F;1
2014;CHIMALTENANGO;SAN MARTÍN JILOTEPEQUE;<1m;F;1
2014;CHIMALTENANGO;TECPÁN GUATEMALA;<1m;F;4
2014;CHIMALTENANGO;YEPOCAPA;<1m;F;1
2014;EL PETEN;FLORES;<1m;F;1
2014;ESCUINTLA;ESCUINTLA;<1m;F;3
2014;ESCUINTLA;MASAGUA;<1m;F;1
2014;ESCUINTLA;SANTA LUCÍA COTZUMALGUAPA;<1m;F;2
2014;ESCUINTLA;TIQUISATE;<1m;F;2
2014;GUATEMALA;CHINAUTLA;<1m;F;1
2014;GUATEMALA;FRAIJANES;<1m;F;1
2014;GUATEMALA;GUATEMALA;<1m;F;2
2014;GUATEMALA;MIXCO;<1m;F;3
