Año;Departamento;Municipio;Grupo Etario;Sexo;Casos
2012;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;25a a 39 años;Masculino;2
2012;ALTA VERAPAZ;LA TINTA;40a a 49 años;Femenino;1
2012;BAJA VERAPAZ;SALAMÁ;10a  a 14 años;Masculino;1
2012;CHIQUIMULA;CAMOTÁN;40a a 49 años;Masculino;1
2012;CHIQUIMULA;CAMOTÁN;60a a 64 años;Femenino;2
2012;CHIQUIMULA;CAMOTÁN;60a a 64 años;Masculino;2
2012;CHIQUIMULA;CHIQUIMULA;40a a 49 años;Masculino;3
2012;CHIQUIMULA;CHIQUIMULA;70a+;Femenino;1
2012;CHIQUIMULA;JOCOTÁN;60a a 64 años;Femenino;1
2012;CHIQUIMULA;JOCOTÁN;60a a 64 años;Masculino;1
2012;CHIQUIMULA;SAN JACINTO;50a a 59 años;Femenino;1
2012;CHIQUIMULA;SAN JACINTO;50a a 59 años;Masculino;1
2012;CHIQUIMULA;SAN JACINTO;65a a 69 años;Masculino;2
2012;EL PETEN;MELCHOR DE MENCOS;15a  a 19 años;Masculino;1
2012;EL PROGRESO;EL JÍCARO;65a a 69 años;Masculino;2
2012;EL PROGRESO;GUASTATOYA;15a  a 19 años;Masculino;2
2012;EL PROGRESO;GUASTATOYA;25a a 39 años;Femenino;2
2012;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;25a a 39 años;Femenino;1
2012;EL PROGRESO;SAN AGUSTÍN ACASAGUASTLÁN;50a a 59 años;Masculino;2
2012;GUATEMALA;VILLA NUEVA;40a a 49 años;Femenino;1
2012;GUATEMALA;VILLA NUEVA;60a a 64 años;Femenino;1
2012;HUEHUETENANGO;LA DEMOCRACIA;5a a 9 años;Femenino;1
2012;HUEHUETENANGO;LA DEMOCRACIA;5a a 9 años;Masculino;1
2012;HUEHUETENANGO;LA DEMOCRACIA;25a a 39 años;Femenino;1
2012;JUTIAPA;JALPATAGUA;15a  a 19 años;Masculino;1
2012;JUTIAPA;JUTIAPA;1a a 4 años;Femenino;1
2012;SANTA ROSA;NUEVA SANTA ROSA;25a a 39 años;Femenino;1
2012;SANTA ROSA;ORATORIO;70a+;Masculino;1
2012;SANTA ROSA;SANTA CRUZ NARANJO;40a a 49 años;Masculino;1
2012;ZACAPA;ZACAPA;25a a 39 años;Masculino;1
2013;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;40a a 49 años;Masculino;2
2013;BAJA VERAPAZ;GRANADOS;20a a 24 años;Femenino;1
2013;BAJA VERAPAZ;SAN MIGUEL CHICAJ;25a a 39 años;Masculino;1
2013;CHIQUIMULA;CAMOTÁN;25a a 39 años;Masculino;1
2013;CHIQUIMULA;CAMOTÁN;40a a 49 años;Masculino;1
2013;CHIQUIMULA;SAN JACINTO;40a a 49 años;Masculino;1
2013;CHIQUIMULA;SAN JACINTO;70a+;Masculino;1
2013;EL PETEN;LA LIBERTAD;10a  a 14 años;Femenino;1
