Año;Departamento;Municipio;Grupo etario;Sexo;Casos
2012;ALTA VERAPAZ;CAHABÓN;10a a 14 años;Femenino;1
2012;ALTA VERAPAZ;CAHABÓN;15a a 19 años;Masculino;2
2012;ALTA VERAPAZ;CAHABÓN;1a a 4 años;Masculino;8
2012;ALTA VERAPAZ;CAHABÓN;20a a 24 años;Masculino;2
2012;ALTA VERAPAZ;CAHABÓN;25a a 39 años;Femenino;2
2012;ALTA VERAPAZ;CAHABÓN;25a a 39 años;Masculino;5
2012;ALTA VERAPAZ;CAHABÓN;50a a 59 años;Masculino;1
2012;ALTA VERAPAZ;CAHABÓN;5a a 9 años;Masculino;1
2012;ALTA VERAPAZ;CHAHAL;10a a 14 años;Femenino;6
2012;ALTA VERAPAZ;CHAHAL;10a a 14 años;Masculino;5
2012;ALTA VERAPAZ;CHAHAL;15a a 19 años;Femenino;5
2012;ALTA VERAPAZ;CHAHAL;15a a 19 años;Masculino;1
2012;ALTA VERAPAZ;CHAHAL;1a a 4 años;Femenino;1
2012;ALTA VERAPAZ;CHAHAL;1a a 4 años;Masculino;1
2012;ALTA VERAPAZ;CHAHAL;20a a 24 años;Femenino;2
2012;ALTA VERAPAZ;CHAHAL;20a a 24 años;Masculino;2
2012;ALTA VERAPAZ;CHAHAL;25a a 39 años;Femenino;1
2012;ALTA VERAPAZ;CHAHAL;25a a 39 años;Masculino;1
2012;ALTA VERAPAZ;CHAHAL;5a a 9 años;Femenino;2
2012;ALTA VERAPAZ;CHAHAL;5a a 9 años;Masculino;6
2012;ALTA VERAPAZ;CHISEC;10a a 14 años;Femenino;24
2012;ALTA VERAPAZ;CHISEC;10a a 14 años;Masculino;32
2012;ALTA VERAPAZ;CHISEC;15a a 19 años;Femenino;17
2012;ALTA VERAPAZ;CHISEC;15a a 19 años;Masculino;19
2012;ALTA VERAPAZ;CHISEC;1a a 4 años;Femenino;55
2012;ALTA VERAPAZ;CHISEC;1a a 4 años;Masculino;37
2012;ALTA VERAPAZ;CHISEC;20a a 24 años;Femenino;12
2012;ALTA VERAPAZ;CHISEC;20a a 24 años;Masculino;8
2012;ALTA VERAPAZ;CHISEC;25a a 39 años;Femenino;21
2012;ALTA VERAPAZ;CHISEC;25a a 39 años;Masculino;19
2012;ALTA VERAPAZ;CHISEC;2m a < 1 año;Femenino;5
2012;ALTA VERAPAZ;CHISEC;2m a < 1 año;Masculino;5
2012;ALTA VERAPAZ;CHISEC;40a a 49 años;Femenino;4
2012;ALTA VERAPAZ;CHISEC;40a a 49 años;Masculino;3
2012;ALTA VERAPAZ;CHISEC;50a a 59 años;Femenino;5
2012;ALTA VERAPAZ;CHISEC;50a a 59 años;Masculino;7
2012;ALTA VERAPAZ;CHISEC;5a a 9 años;Femenino;54
2012;ALTA VERAPAZ;CHISEC;5a a 9 años;Masculino;40
2012;ALTA VERAPAZ;CHISEC;60a a 64 años;Femenino;3
2012;ALTA VERAPAZ;CHISEC;60a a 64 años;Masculino;2
2012;ALTA VERAPAZ;CHISEC;65a a 69 años;Masculino;3
2012;ALTA VERAPAZ;CHISEC;70a+;Femenino;1
2012;ALTA VERAPAZ;COBÁN;10a a 14 años;Femenino;8
