Año;Departamento;Municipio;CIE-10;Diagnóstico;GrupoEtario;Sexo;Casos
2020;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;I:78;Enfermedades de los vasos capilares;< 1 mes;F;1
2020;ALTA VERAPAZ;SAN PEDRO CARCHÁ;I:46;Paro cardíaco;< 1 mes;F;1
2020;BAJA VERAPAZ;CUBULCO;I:50;Insuficiencia cardíaca;< 1 mes;F;1
2020;CHIMALTENANGO;POCHUTA;J:45;Asma;< 1 mes;F;3
2020;CHIMALTENANGO;SAN JUAN COMALAPA;E:14;Diabetes mellitus, no especificada;< 1 mes;F;1
2020;CHIQUIMULA;CHIQUIMULA;I:00;Fiebre reumática sin mención de complicación cardíaca;< 1 mes;F;1
2020;CHIQUIMULA;CHIQUIMULA;I:47;Taquicardia paroxística;< 1 mes;F;1
2020;EL PETEN;DOLORES;J:45;Asma;< 1 mes;F;1
2020;EL PETEN;SAN BENITO;J:44;Otras enfermedades pulmonares obstructivas crónicas;< 1 mes;F;1
2020;EL PETEN;SAN BENITO;J:45;Asma;< 1 mes;F;1
2020;EL PETEN;SAYAXCHÉ;J:45;Asma;< 1 mes;F;1
2020;EL PROGRESO;SANARATE;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2020;GUATEMALA;CHINAUTLA;I:67;Otras enfermedades cerebrovasculares;< 1 mes;F;1
2020;GUATEMALA;GUATEMALA;C:56;Tumor maligno del ovario;< 1 mes;F;1
2020;GUATEMALA;GUATEMALA;C:69;Tumor maligno del ojo y sus anexos;< 1 mes;F;1
2020;GUATEMALA;GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2020;GUATEMALA;MIXCO;E:11;Diabetes mellitus no insulinodependiente;< 1 mes;F;1
2020;GUATEMALA;MIXCO;I:10;Hipertensión esencial (primaria);< 1 mes;F;2
2020;GUATEMALA;SAN JOSÉ PINULA;J:45;Asma;< 1 mes;F;1
2020;GUATEMALA;SAN JUAN SACATEPÉQUEZ;J:45;Asma;< 1 mes;F;1
2020;GUATEMALA;SAN RAYMUNDO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
