Año;Departamento;Municipio;CIE-10;Diagnóstico;Grupo Etario;Sexo;Casos
2022;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;J:45;Asma;< 1 mes;F;1
2022;ALTA VERAPAZ;LA TINTA;J:45;Asma;< 1 mes;F;10
2022;ALTA VERAPAZ;SAN PEDRO CARCHÁ;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2022;ALTA VERAPAZ;SAN PEDRO CARCHÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2022;ALTA VERAPAZ;SANTA CRUZ VERAPAZ;I:46;Paro cardíaco;< 1 mes;F;1
2022;ALTA VERAPAZ;SANTA CRUZ VERAPAZ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2022;BAJA VERAPAZ;CUBULCO;E:14;Diabetes mellitus, no especificada;< 1 mes;F;1
2022;BAJA VERAPAZ;SALAMÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2022;CHIMALTENANGO;CHIMALTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;8
2022;CHIMALTENANGO;POCHUTA;J:45;Asma;< 1 mes;F;1
2022;CHIMALTENANGO;TECPÁN GUATEMALA;I:10;Hipertensión esencial (primaria);< 1 mes;F;2
2022;CHIQUIMULA;CHIQUIMULA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2022;CHIQUIMULA;QUETZALTEPEQUE;J:45;Asma;< 1 mes;F;1
2022;EL PETEN;SAN BENITO;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2022;EL PETEN;SAN BENITO;I:27;Otras enfermedades cardiopulmonares;< 1 mes;F;1
2022;EL PETEN;SAN BENITO;I:33;Endocarditis aguda y subaguda;< 1 mes;F;1
2022;EL PETEN;SAN BENITO;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2022;EL PETEN;SAN BENITO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2022;EL PROGRESO;SANARATE;I:25;Enfermedad isquémica crónica del corazón;< 1 mes;F;1
2022;GUATEMALA;AMATITLÁN;C:84;Linfoma de células T, periférico y cutáneo;< 1 mes;F;1
2022;GUATEMALA;AMATITLÁN;E:14;Diabetes mellitus, no especificada;< 1 mes;F;1
2022;GUATEMALA;CHINAUTLA;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2022;GUATEMALA;CHINAUTLA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2022;GUATEMALA;GUATEMALA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
