Año;Departamento;Municipio;CIE-10;Diagnóstico ;grupo etario;sexo;cantidad
2012;ALTA VERAPAZ;CAHABÓN;A:04:9;Infección intestinal bacteriana, no especificada;< 1 mes;F;2
2012;ALTA VERAPAZ;CAHABÓN;A:08:4;Infección intestinal viral, sin otra especificación;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;A:09:X;Otras enfermedades diarreicas agudas;< 1 mes;F;2
2012;ALTA VERAPAZ;CAHABÓN;A:49:8;Otras infecciones bacterianas de sitio no especificado;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;B:01:9;Varicela sin complicaciones;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;H:10:9;Conjuntivitis, no especificada;< 1 mes;F;2
2012;ALTA VERAPAZ;CAHABÓN;H:66:4;Otitis media supurativa, sin otra especificación;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;J:00:X;Resfriado Común;< 1 mes;F;14
2012;ALTA VERAPAZ;CAHABÓN;J:18:9;Neumonía y bronconeumonías;< 1 mes;F;3
2012;ALTA VERAPAZ;CAHABÓN;L:01:0;Impétigo [cualquier sitio anatómico] [cualquier organismo];< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;L:02:9;Absceso cutáneo, furúnculo y ántrax de sitio no especificado;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;L:30:9;Dermatitis, no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;N:23;Cólico renal, no especificado;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;P:38;Onfalitis del recién nacido con o sin hemorragia leve;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;R:10:4;Otros dolores abdominales y los no especificados;< 1 mes;F;1
2012;ALTA VERAPAZ;CAHABÓN;T:78:4;Alergia no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;A:04:9;Infección intestinal bacteriana, no especificada;< 1 mes;F;2
2012;ALTA VERAPAZ;CHAHAL;A:09:X;Otras enfermedades diarreicas agudas;< 1 mes;F;10
2012;ALTA VERAPAZ;CHAHAL;B:37:0;Estomatitis candidiásica;< 1 mes;F;2
2012;ALTA VERAPAZ;CHAHAL;B:86;Escabiosis;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;D:48:7;Tumor de comportamiento incierto o desconocido de otros sitios especificados;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;H:10:3;Conjuntivitis aguda, no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;J:00:X;Resfriado Común;< 1 mes;F;7
2012;ALTA VERAPAZ;CHAHAL;J:02:9;Faringitis aguda, no especificada;< 1 mes;F;2
2012;ALTA VERAPAZ;CHAHAL;J:03:9;Amigdalitis aguda, no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;J:18:9;Neumonía y bronconeumonías;< 1 mes;F;3
2012;ALTA VERAPAZ;CHAHAL;J:22:X;Otras infecciones respiratorias agudas;< 1 mes;F;11
2012;ALTA VERAPAZ;CHAHAL;J:30:4;Rinitis alérgica, no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;K:42:9;Hernia umbilical sin obstrucción ni gangrena;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;L:22;Dermatitis del pañal;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;L:30:9;Dermatitis, no especificada;< 1 mes;F;3
2012;ALTA VERAPAZ;CHAHAL;N:39:0;Infección de vías urinarias, sitio no especificado;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;P:07:1;Otro peso bajo al nacer;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;P:36:9;Sepsis bacteriana del recién nacido, no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;P:38;Onfalitis del recién nacido con o sin hemorragia leve;< 1 mes;F;4
2012;ALTA VERAPAZ;CHAHAL;R:10:4;Otros dolores abdominales y los no especificados;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;R:14;Flatulencia y afecciones afines;< 1 mes;F;1
2012;ALTA VERAPAZ;CHAHAL;R:17;Ictericia no especificada;< 1 mes;F;2
2012;ALTA VERAPAZ;CHAHAL;T:78:4;Alergia no especificada;< 1 mes;F;3
2012;ALTA VERAPAZ;CHISEC;A:06:9;Amebiasis, no especificada;< 1 mes;F;1
2012;ALTA VERAPAZ;CHISEC;A:09:1;Disentería (diarrea con sangre);< 1 mes;F;1
2012;ALTA VERAPAZ;CHISEC;A:09:X;Otras enfermedades diarreicas agudas;< 1 mes;F;1
2012;ALTA VERAPAZ;CHISEC;B:37:9;Candidiasis, no especificada;< 1 mes;F;2
2012;ALTA VERAPAZ;CHISEC;B:82:9;Parasitosis intestinal, sin otra especificación;< 1 mes;F;1
2012;ALTA VERAPAZ;CHISEC;E:45;Retardo del desarrollo debido a desnutrición proteico calórica;< 1 mes;F;1
