Año;Departamento;Municipio;Grupo etario;Sexo;Casos
2014;BAJA VERAPAZ;SALAMÁ;10a a 14 años;Masculino;2
2014;BAJA VERAPAZ;SALAMÁ;40a a 49 años;Femenino;1
2014;BAJA VERAPAZ;SALAMÁ;40a a 49 años;Masculino;1
2014;BAJA VERAPAZ;SALAMÁ;50a a 59 años;Femenino;1
2014;CHIMALTENANGO;CHIMALTENANGO;25a a 39 años;Masculino;3
2014;CHIMALTENANGO;SAN JOSÉ POAQUIL;25a a 39 años;Femenino;1
2014;CHIMALTENANGO;YEPOCAPA;15a a 19 años;Femenino;1
2014;CHIQUIMULA;CAMOTÁN;10a a 14 años;Masculino;1
2014;CHIQUIMULA;CAMOTÁN;15a a 19 años;Femenino;1
2014;CHIQUIMULA;CAMOTÁN;20a a 24 años;Femenino;2
2014;CHIQUIMULA;CAMOTÁN;25a a 39 años;Femenino;2
2014;CHIQUIMULA;CAMOTÁN;25a a 39 años;Masculino;1
2014;CHIQUIMULA;CAMOTÁN;40a a 49 años;Femenino;2
2014;CHIQUIMULA;CAMOTÁN;50a a 59 años;Femenino;1
2014;CHIQUIMULA;CAMOTÁN;60a a 64 años;Femenino;1
2014;CHIQUIMULA;CHIQUIMULA;10a a 14 años;Femenino;4
2014;CHIQUIMULA;CHIQUIMULA;10a a 14 años;Masculino;9
2014;CHIQUIMULA;CHIQUIMULA;15a a 19 años;Femenino;3
2014;CHIQUIMULA;CHIQUIMULA;15a a 19 años;Masculino;2
2014;CHIQUIMULA;CHIQUIMULA;1a a 4 años;Femenino;1
2014;CHIQUIMULA;CHIQUIMULA;1a a 4 años;Masculino;1
2014;CHIQUIMULA;CHIQUIMULA;20a a 24 años;Femenino;5
2014;CHIQUIMULA;CHIQUIMULA;20a a 24 años;Masculino;2
2014;CHIQUIMULA;CHIQUIMULA;25a a 39 años;Femenino;15
2014;CHIQUIMULA;CHIQUIMULA;25a a 39 años;Masculino;3
2014;CHIQUIMULA;CHIQUIMULA;2m a < 1 año;Masculino;2
2014;CHIQUIMULA;CHIQUIMULA;40a a 49 años;Femenino;5
2014;CHIQUIMULA;CHIQUIMULA;40a a 49 años;Masculino;1
2014;CHIQUIMULA;CHIQUIMULA;50a a 59 años;Femenino;2
2014;CHIQUIMULA;CHIQUIMULA;50a a 59 años;Masculino;2
2014;CHIQUIMULA;CHIQUIMULA;5a a 9 años;Femenino;5
2014;CHIQUIMULA;CHIQUIMULA;5a a 9 años;Masculino;3
2014;CHIQUIMULA;CHIQUIMULA;60a a 64 años;Femenino;3
2014;CHIQUIMULA;CHIQUIMULA;65a a 69 años;Femenino;2
2014;CHIQUIMULA;CHIQUIMULA;65a a 69 años;Masculino;1
2014;CHIQUIMULA;CHIQUIMULA;70a+;Femenino;1
2014;CHIQUIMULA;CHIQUIMULA;70a+;Masculino;3
2014;CHIQUIMULA;CONCEPCIÓN LAS MINAS;25a a 39 años;Femenino;1
2014;CHIQUIMULA;ESQUIPULAS;20a a 24 años;Femenino;1
2014;CHIQUIMULA;ESQUIPULAS;40a a 49 años;Femenino;1
2014;CHIQUIMULA;JOCOTÁN;10a a 14 años;Femenino;1
2014;CHIQUIMULA;JOCOTÁN;15a a 19 años;Femenino;1
2014;CHIQUIMULA;JOCOTÁN;1a a 4 años;Masculino;2
2014;CHIQUIMULA;JOCOTÁN;2m a < 1 año;Femenino;1
2014;CHIQUIMULA;JOCOTÁN;40a a 49 años;Masculino;2
2014;CHIQUIMULA;JOCOTÁN;5a a 9 años;Masculino;1
2014;CHIQUIMULA;QUETZALTEPEQUE;15a a 19 años;Femenino;1
2014;CHIQUIMULA;SAN JACINTO;10a a 14 años;Masculino;2
2014;CHIQUIMULA;SAN JACINTO;1a a 4 años;Femenino;1
2014;CHIQUIMULA;SAN JACINTO;20a a 24 años;Masculino;1
2014;CHIQUIMULA;SAN JACINTO;25a a 39 años;Femenino;2
2014;CHIQUIMULA;SAN JACINTO;5a a 9 años;Masculino;1
2014;CHIQUIMULA;SAN JOSÉ LA ARADA;25a a 39 años;Femenino;2
2014;CHIQUIMULA;SAN JOSÉ LA ARADA;40a a 49 años;Femenino;2
2014;CHIQUIMULA;SAN JUAN LA ERMITA;1a a 4 años;Femenino;1
2014;CHIQUIMULA;SAN JUAN LA ERMITA;20a a 24 años;Femenino;1
2014;CHIQUIMULA;SAN JUAN LA ERMITA;25a a 39 años;Femenino;2
2014;CHIQUIMULA;SAN JUAN LA ERMITA;25a a 39 años;Masculino;1
2014;CHIQUIMULA;SAN JUAN LA ERMITA;40a a 49 años;Femenino;1
