Año;Departamento;Municipio;Grupo etario;Sexo;Casos
2012;ALTA VERAPAZ;CHAHAL;5a a 9 años;Femenino;1
2012;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;25a a 39 años;Femenino;4
2012;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;25a a 39 años;Masculino;4
2012;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;40a a 49 años;Femenino;2
2012;EL PETEN;FLORES;1a a 4 años;Femenino;1
2012;EL PETEN;SAN BENITO;1a a 4 años;Femenino;1
2012;EL PROGRESO;MORAZÁN;2m a < 1 año;Masculino;1
2012;EL PROGRESO;SAN CRISTÓBAL ACASAGUASTLÁN;10a a 14 años;Femenino;1
2012;ESCUINTLA;SIQUINALÁ;1a a 4 años;Masculino;1
2012;ESCUINTLA;TIQUISATE;20a a 24 años;Masculino;1
2012;GUATEMALA;AMATITLÁN;10a a 14 años;Masculino;2
2012;GUATEMALA;AMATITLÁN;15a a 19 años;Femenino;1
2012;GUATEMALA;AMATITLÁN;15a a 19 años;Masculino;1
2012;GUATEMALA;AMATITLÁN;1a a 4 años;Masculino;1
2012;GUATEMALA;AMATITLÁN;20a a 24 años;Femenino;1
2012;GUATEMALA;AMATITLÁN;25a a 39 años;Femenino;3
2012;GUATEMALA;AMATITLÁN;25a a 39 años;Masculino;1
2012;GUATEMALA;AMATITLÁN;50a a 59 años;Masculino;1
2012;GUATEMALA;GUATEMALA;1a a 4 años;Femenino;1
2012;GUATEMALA;SAN MIGUEL PETAPA;10a a 14 años;Masculino;2
2012;GUATEMALA;SAN MIGUEL PETAPA;15a a 19 años;Femenino;2
2012;GUATEMALA;SAN MIGUEL PETAPA;15a a 19 años;Masculino;1
2012;GUATEMALA;SAN MIGUEL PETAPA;25a a 39 años;Masculino;1
2012;GUATEMALA;SAN MIGUEL PETAPA;40a a 49 años;Femenino;1
2012;GUATEMALA;SAN MIGUEL PETAPA;5a a 9 años;Femenino;1
2012;GUATEMALA;VILLA NUEVA;10a a 14 años;Femenino;1
2012;GUATEMALA;VILLA NUEVA;15a a 19 años;Masculino;2
2012;GUATEMALA;VILLA NUEVA;20a a 24 años;Masculino;1
2012;GUATEMALA;VILLA NUEVA;5a a 9 años;Femenino;1
2012;IZABAL;LIVINGSTON;25a a 39 años;Femenino;1
2012;IZABAL;PUERTO BARRIOS;10a a 14 años;Femenino;1
2012;IZABAL;PUERTO BARRIOS;1a a 4 años;Femenino;1
2012;IZABAL;PUERTO BARRIOS;25a a 39 años;Masculino;1
2012;IZABAL;PUERTO BARRIOS;5a a 9 años;Femenino;3
2012;IZABAL;PUERTO BARRIOS;5a a 9 años;Masculino;1
2012;QUICHE;IXCÁN;25a a 39 años;Masculino;1
2012;SANTA ROSA;CUILAPA;20a a 24 años;Masculino;1
2012;SUCHITEPEQUEZ;MAZATENANGO;10a a 14 años;Femenino;1
2012;SUCHITEPEQUEZ;MAZATENANGO;25a a 39 años;Femenino;1
2012;SUCHITEPEQUEZ;MAZATENANGO;2m a < 1 año;Masculino;1
2012;SUCHITEPEQUEZ;SAN LORENZO;10a a 14 años;Femenino;1
