Año;Departamento;Municipio;Grupo_Etario;Sexo;Casos
2015;ZACAPA;ZACAPA;< 1 mes;Femenino;1
2016;CHIQUIMULA;ESQUIPULAS;< 1 mes;Femenino;1
2016;CHIQUIMULA;SAN JUAN LA ERMITA;< 1 mes;Femenino;2
2016;GUATEMALA;GUATEMALA;< 1 mes;Femenino;5
2016;QUETZALTENANGO;COLOMBA;< 1 mes;Femenino;1
2017;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;< 1 mes;Femenino;2
2017;CHIQUIMULA;CHIQUIMULA;< 1 mes;Femenino;4
2017;GUATEMALA;AMATITLÁN;< 1 mes;Femenino;1
2017;GUATEMALA;GUATEMALA;< 1 mes;Femenino;25
2017;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;2
2018;GUATEMALA;AMATITLÁN;< 1 mes;Femenino;3
2018;GUATEMALA;GUATEMALA;< 1 mes;Femenino;8
2018;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;1
2018;SUCHITEPEQUEZ;MAZATENANGO;< 1 mes;Femenino;1
2019;CHIQUIMULA;CHIQUIMULA;< 1 mes;Femenino;2
2019;GUATEMALA;AMATITLÁN;< 1 mes;Femenino;2
2019;GUATEMALA;GUATEMALA;< 1 mes;Femenino;3
2019;GUATEMALA;SAN MIGUEL PETAPA;< 1 mes;Femenino;1
2020;GUATEMALA;AMATITLÁN;< 1 mes;Femenino;1
2024;GUATEMALA;GUATEMALA;< 1 mes;Femenino;1
2016;CHIQUIMULA;CHIQUIMULA;< 1 mes;Masculino;2
2016;GUATEMALA;AMATITLÁN;< 1 mes;Masculino;1
2016;GUATEMALA;GUATEMALA;< 1 mes;Masculino;5
2016;IZABAL;EL ESTOR;< 1 mes;Masculino;1
2016;QUETZALTENANGO;COLOMBA;< 1 mes;Masculino;1
2016;SUCHITEPEQUEZ;MAZATENANGO;< 1 mes;Masculino;1
2016;ZACAPA;ZACAPA;< 1 mes;Masculino;1
2017;GUATEMALA;AMATITLÁN;< 1 mes;Masculino;1
2017;GUATEMALA;GUATEMALA;< 1 mes;Masculino;24
2017;QUETZALTENANGO;COATEPEQUE;< 1 mes;Masculino;1
2018;GUATEMALA;AMATITLÁN;< 1 mes;Masculino;3
2018;GUATEMALA;GUATEMALA;< 1 mes;Masculino;2
2018;QUETZALTENANGO;COATEPEQUE;< 1 mes;Masculino;4
2019;GUATEMALA;GUATEMALA;< 1 mes;Masculino;2
2019;IZABAL;EL ESTOR;< 1 mes;Masculino;1
2019;SANTA ROSA;CUILAPA;< 1 mes;Masculino;1
2024;QUETZALTENANGO;COATEPEQUE;< 1 mes;Masculino;1
2016;CHIQUIMULA;ESQUIPULAS;1m a < 2m;Femenino;1
2016;IZABAL;LIVINGSTON;1m a < 2m;Femenino;1
2016;SANTA ROSA;NUEVA SANTA ROSA;1m a < 2m;Femenino;2
2016;ZACAPA;LA UNIÓN;1m a < 2m;Femenino;1
2017;GUATEMALA;GUATEMALA;1m a < 2m;Femenino;2
2018;GUATEMALA;GUATEMALA;1m a < 2m;Femenino;1
2018;SANTA ROSA;CUILAPA;1m a < 2m;Femenino;1
2018;ZACAPA;TECULUTÁN;1m a < 2m;Femenino;1
2019;GUATEMALA;AMATITLÁN;1m a < 2m;Femenino;1
