Año;Departamento;Municipio;CIE-10;Diagnóstico;Grupo Etario;Sexo;Casos;tipo_diagnostico
2023;ALTA VERAPAZ;CAHABÓN;D:05;Carcinoma in situ de la mama;45 a 49 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:10;Diabetes mellitus insulinodependiente;55 a 59 años;F;2;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;35 a 39 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;40 a 44 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;45 a 49 años;F;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;50 a 54 años;F;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;50 a 54 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;55 a 59 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:11;Diabetes mellitus no insulinodependiente;60 a 64 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;15 a 19 años;M;2;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;20 a 24 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;30 a 34 años;F;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;35 a 39 años;F;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;35 a 39 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;40 a 44 años;F;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;40 a 44 años;M;4;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;45 a 49 años;F;20;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;45 a 49 años;M;2;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;50 a 54 años;F;5;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;50 a 54 años;M;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;55 a 59 años;F;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;55 a 59 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;60 a 64 años;F;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;60 a 64 años;M;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;65 a 69 años;F;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;65 a 69 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;70+;F;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:13;Otras diabetes mellitus especificadas;70+;M;2;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;10 a 14 años;F;2;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;10 a 14 años;M;3;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;15 a 19 años;F;2;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;20 a 24 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;20 a 24 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;25 a 29 años;F;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;30 a 34 años;F;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;30 a 34 años;M;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;35 a 39 años;F;13;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;35 a 39 años;M;4;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;40 a 44 años;F;19;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;40 a 44 años;M;7;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;45 a 49 años;F;18;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;45 a 49 años;M;5;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;50 a 54 años;F;20;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;50 a 54 años;M;15;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;55 a 59 años;F;27;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;55 a 59 años;M;13;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;60 a 64 años;F;15;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;60 a 64 años;M;6;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;65 a 69 años;F;13;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;65 a 69 años;M;1;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;70+;F;11;5
2023;ALTA VERAPAZ;CAHABÓN;E:14;Diabetes mellitus, no especificada;70+;M;1;5
