"Año 
";"Departamento 
";"Municipio
";"CIE-10
";"Diagnóstico
";Grupo Etario;Sexo;Casos
2024;ALTA VERAPAZ;SAN PEDRO CARCHÁ;I:30;Pericarditis aguda;< 1 mes;F;1
2024;BAJA VERAPAZ;SALAMÁ;J:45;Asma;< 1 mes;F;1
2024;CHIMALTENANGO;POCHUTA;J:45;Asma;< 1 mes;F;1
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:10;Hipertensión esencial (primaria);< 1 mes;F;2
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:50;Insuficiencia cardíaca;< 1 mes;F;2
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;6
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:61;Hemorragia intraencefálica;< 1 mes;F;1
2024;CHIMALTENANGO;TECPÁN GUATEMALA;J:45;Asma;< 1 mes;F;3
2024;CHIMALTENANGO;TECPÁN GUATEMALA;N:18;Insuficiencia renal crónica;< 1 mes;F;1
2024;CHIQUIMULA;CHIQUIMULA;I:46;Paro cardíaco;< 1 mes;F;1
2024;CHIQUIMULA;CHIQUIMULA;J:45;Asma;< 1 mes;F;4
2024;EL PETEN;DOLORES;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2024;EL PETEN;LA LIBERTAD;I:39;Endocarditis y trastornos valvulares en enfermedades clasificadas en otra parte;< 1 mes;F;1
2024;EL PETEN;POPTÚN;I:50;Insuficiencia cardíaca;< 1 mes;F;1
2024;EL PETEN;POPTÚN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2024;EL PETEN;SAN BENITO;C:22;Tumor maligno del hígado y de las vías biliares intrahepáticas;< 1 mes;F;1
2024;EL PETEN;SAN BENITO;I:21;Infarto agudo del miocardio;< 1 mes;F;1
2024;EL PETEN;SAN BENITO;I:27;Otras enfermedades cardiopulmonares;< 1 mes;F;1
2024;EL PETEN;SAN BENITO;I:31;Otras enfermedades del pericardio;< 1 mes;F;1
2024;EL PETEN;SAN BENITO;N:18;Insuficiencia renal crónica;< 1 mes;F;1
2024;EL PETEN;SAYAXCHÉ;J:45;Asma;< 1 mes;F;1
2024;GUATEMALA;GUATEMALA;I:42;Cardiomiopatía;< 1 mes;F;1
2024;GUATEMALA;GUATEMALA;I:49;Otras arritmias cardíacas;< 1 mes;F;3
2024;GUATEMALA;GUATEMALA;J:45;Asma;< 1 mes;F;1
2024;GUATEMALA;MIXCO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;HUEHUETENANGO;BARILLAS;I:46;Paro cardíaco;< 1 mes;F;1
2024;HUEHUETENANGO;CONCEPCIÓN HUISTA;I:42;Cardiomiopatía;< 1 mes;F;1
2024;HUEHUETENANGO;HUEHUETENANGO;I:50;Insuficiencia cardíaca;< 1 mes;F;1
2024;HUEHUETENANGO;JACALTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2024;HUEHUETENANGO;SAN PEDRO NECTA;I:42;Cardiomiopatía;< 1 mes;F;3
2024;HUEHUETENANGO;SAN PEDRO SOLOMA;I:46;Paro cardíaco;< 1 mes;F;1
2024;HUEHUETENANGO;SAN SEBASTIÁN HUEHUETENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;IZABAL;EL ESTOR;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;IZABAL;LIVINGSTON;J:45;Asma;< 1 mes;F;1
2024;IZABAL;MORALES;I:46;Paro cardíaco;< 1 mes;F;1
2024;IZABAL;PUERTO BARRIOS;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2024;IZABAL;PUERTO BARRIOS;I:23;Ciertas complicaciones presentes posteriores al infarto agudo del miocardio;< 1 mes;F;1
2024;IZABAL;PUERTO BARRIOS;I:50;Insuficiencia cardíaca;< 1 mes;F;1
2024;IZABAL;PUERTO BARRIOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;IZABAL;PUERTO BARRIOS;J:45;Asma;< 1 mes;F;1
2024;JALAPA;JALAPA;I:10;Hipertensión esencial (primaria);< 1 mes;F;2
2024;JALAPA;JALAPA;I:46;Paro cardíaco;< 1 mes;F;1
2024;JALAPA;JALAPA;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2024;JALAPA;JALAPA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;JALAPA;JALAPA;J:45;Asma;< 1 mes;F;2
2024;JUTIAPA;ASUNCIÓN MITA;J:45;Asma;< 1 mes;F;1
2024;QUETZALTENANGO;CAJOLÁ;I:46;Paro cardíaco;< 1 mes;F;1
2024;QUETZALTENANGO;COATEPEQUE;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;12
2024;QUETZALTENANGO;GÉNOVA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2024;QUETZALTENANGO;LA ESPERANZA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;QUETZALTENANGO;QUETZALTENANGO;J:45;Asma;< 1 mes;F;1
2024;QUICHE;CHICHICASTENANGO;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2024;QUICHE;IXCÁN;I:30;Pericarditis aguda;< 1 mes;F;1
2024;QUICHE;IXCÁN;I:80;Flebitis y tromboflebitis;< 1 mes;F;1
2024;QUICHE;SAN ANTONIO ILOTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;QUICHE;SAN MIGUEL USPANTÁN;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2024;QUICHE;SAN MIGUEL USPANTÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;RETALHULEU;SAN MARTÍN ZAPOTITLÁN;I:50;Insuficiencia cardíaca;< 1 mes;F;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:23;Ciertas complicaciones presentes posteriores al infarto agudo del miocardio;< 1 mes;F;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:45;Otros trastornos de la conducción;< 1 mes;F;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;4
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;N:18;Insuficiencia renal crónica;< 1 mes;F;1
2024;SACATEPEQUEZ;SANTA LUCÍA MILPAS ALTAS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2024;SAN MARCOS;IXCHIGUÁN;I:15;Hipertensión secundaria;< 1 mes;F;1
2024;SAN MARCOS;MALACATÁN;I:27;Otras enfermedades cardiopulmonares;< 1 mes;F;2
2024;SAN MARCOS;MALACATÁN;I:46;Paro cardíaco;< 1 mes;F;1
2024;SAN MARCOS;MALACATÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;7
2024;SAN MARCOS;MALACATÁN;I:67;Otras enfermedades cerebrovasculares;< 1 mes;F;1
2024;SANTA ROSA;CHIQUIMULILLA;J:45;Asma;< 1 mes;F;1
2024;SANTA ROSA;CUILAPA;I:27;Otras enfermedades cardiopulmonares;< 1 mes;F;10
2024;SANTA ROSA;CUILAPA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;5
2024;SANTA ROSA;CUILAPA;I:60;Hemorragia subaracnoidea;< 1 mes;F;1
2024;SANTA ROSA;CUILAPA;I:61;Hemorragia intraencefálica;< 1 mes;F;1
2024;SANTA ROSA;CUILAPA;I:62;Otras hemorragias intracraneales no traumáticas;< 1 mes;F;1
2024;SANTA ROSA;CUILAPA;I:87;Otros trastornos de las venas;< 1 mes;F;1
2024;SANTA ROSA;CUILAPA;I:88;Linfadenitis inespecífica;< 1 mes;F;1
2024;SANTA ROSA;NUEVA SANTA ROSA;J:45;Asma;< 1 mes;F;1
2024;SOLOLA;SOLOLÁ;I:46;Paro cardíaco;< 1 mes;F;1
2024;SOLOLA;SOLOLÁ;I:47;Taquicardia paroxística;< 1 mes;F;1
2024;SOLOLA;SOLOLÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2024;SOLOLA;SOLOLÁ;I:99;Otros trastornos y los no especificados del sistema circulatorio;< 1 mes;F;1
2024;SUCHITEPEQUEZ;MAZATENANGO;I:38;Endocarditis, válvula no especificada;< 1 mes;F;1
2024;SUCHITEPEQUEZ;MAZATENANGO;J:45;Asma;< 1 mes;F;1
2024;TOTONICAPAN;SAN FRANCISCO EL ALTO;I:27;Otras enfermedades cardiopulmonares;< 1 mes;F;1
2024;ZACAPA;CABAÑAS;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2024;ZACAPA;ZACAPA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2024;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;15 a 19 años;M;1
2024;ALTA VERAPAZ;SAN CRISTÓBAL VERAPAZ;J:45;Asma;70+;M;1
2024;ALTA VERAPAZ;SANTA CRUZ VERAPAZ;C:71;Tumor maligno del encéfalo;1m a < 2m;M;1
2024;ALTA VERAPAZ;SENAHÚ;I:49;Otras arritmias cardíacas;35 a 39 años;M;1
2024;BAJA VERAPAZ;SALAMÁ;J:45;Asma;30 a 34 años;M;1
2024;CHIMALTENANGO;CHIMALTENANGO;C:31;Tumor maligno de los senos paranasales;5 a 9 años;M;2
2024;CHIMALTENANGO;CHIMALTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;10 a 14 años;M;1
2024;CHIMALTENANGO;CHIMALTENANGO;J:45;Asma;1m a < 2m;M;3
2024;CHIMALTENANGO;TECPÁN GUATEMALA;C:80;Tumor maligno de sitios no especificados;60 a 64 años;M;1
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:10;Hipertensión esencial (primaria);2m a < 1 año;M;4
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:50;Insuficiencia cardíaca;30 a 34 años;M;1
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;30 a 34 años;M;3
2024;CHIMALTENANGO;TECPÁN GUATEMALA;J:45;Asma;1a a 4 años;M;3
2024;CHIQUIMULA;CHIQUIMULA;I:40;Miocarditis aguda;40 a 44 años;M;1
2024;CHIQUIMULA;CHIQUIMULA;I:49;Otras arritmias cardíacas;60 a 64 años;M;1
2024;CHIQUIMULA;CHIQUIMULA;J:45;Asma;35 a 39 años;M;1
2024;CHIQUIMULA;JOCOTÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;40 a 44 años;M;1
2024;EL PETEN;LAS CRUCES;J:45;Asma;60 a 64 años;M;1
2024;EL PETEN;POPTÚN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;5 a 9 años;M;2
2024;EL PETEN;SAN BENITO;I:27;Otras enfermedades cardiopulmonares;5 a 9 años;M;1
2024;EL PETEN;SAN BENITO;I:42;Cardiomiopatía;30 a 34 años;M;1
2024;EL PETEN;SAN BENITO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;50 a 54 años;M;3
2024;EL PETEN;SAN BENITO;I:61;Hemorragia intraencefálica;55 a 59 años;M;1
2024;EL PETEN;SAN BENITO;N:18;Insuficiencia renal crónica;25 a 29 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:10;Hipertensión esencial (primaria);20 a 24 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:50;Insuficiencia cardíaca;60 a 64 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;65 a 69 años;M;3
2024;ESCUINTLA;PUERTO DE SAN JOSÉ;J:45;Asma;2m a < 1 año;M;1
2024;GUATEMALA;AMATITLÁN;J:45;Asma;1a a 4 años;M;1
2024;GUATEMALA;GUATEMALA;I:00;Fiebre reumática sin mención de complicación cardíaca;1a a 4 años;M;1
2024;GUATEMALA;GUATEMALA;I:49;Otras arritmias cardíacas;5 a 9 años;M;2
2024;GUATEMALA;GUATEMALA;J:45;Asma;2m a < 1 año;M;2
2024;GUATEMALA;MIXCO;I:42;Cardiomiopatía;45 a 49 años;M;1
2024;GUATEMALA;MIXCO;J:45;Asma;45 a 49 años;M;1
2024;GUATEMALA;SAN JOSÉ DEL GOLFO;J:45;Asma;35 a 39 años;M;1
