id,nombre,CIE-10,id_tipo_diagnostico
1,(Osteo)artrosis erosiva,M:15:4,1
2,(Osteo)artrosis primaria generalizada,M:15:0,1
3,Abdomen agudo,R:10:0,1
4,Aborto espontáneo,O:03,2
5,"Aborto espontáneo, completo o no especificado, complicado con infección genital y pelviana",O:03:5,2
6,"Aborto espontáneo, completo o no especificado, complicado por embolia",O:03:7,2
7,"Aborto espontáneo, completo o no especificado, complicado por hemorragia excesiva o tardía",O:03:6,2
8,"Aborto espontáneo, completo o no especificado, con otras complicaciones especificadas y las no especificadas",O:03:8,2
9,"Aborto espontáneo, completo o no especificado, sin complicación",O:03:9,2
10,"Aborto espontáneo, incompleto, complicado con infección genital y pelviana",O:03:0,2
11,"Aborto espontáneo, incompleto, complicado por embolia",O:03:2,2
12,"Aborto espontáneo, incompleto, complicado por hemorragia excesiva o tardía",O:03:1,2
13,"Aborto espontáneo, incompleto, con otras complicaciones especificadas y las no especificadas",O:03:3,2
14,"Aborto espontáneo, incompleto, sin complicación",O:03:4,2
15,Aborto médico,O:04,2
16,"Aborto médico, completo o no especificado, complicado con infección genital y pelviana",O:04:5,2
17,"Aborto médico, completo o no especificado, complicado por embolia",O:04:7,2
18,"Aborto médico, completo o no especificado, complicado por hemorragia excesiva o tardía",O:04:6,2
19,"Aborto médico, completo o no especificado, con otras complicaciones especificadas y las no especificadas",O:04:8,2
20,"Aborto médico, completo o no especificado, sin complicación",O:04:9,2
21,"Aborto médico, incompleto, complicado con infección genital y pelviana",O:04:0,2
22,"Aborto médico, incompleto, complicado por embolia",O:04:2,2
23,"Aborto médico, incompleto, complicado por hemorragia excesiva o tardía",O:04:1,2
24,"Aborto médico, incompleto, con otras complicaciones especificadas y las no especificadas",O:04:3,2
25,"Aborto médico, incompleto, sin complicación",O:04:4,2
26,Aborto no especificado,O:06,2
27,"Aborto no especificado, completo o no especificado, complicado con infección genital y pelviana",O:06:5,2
28,"Aborto no especificado, completo o no especificado, complicado por embolia",O:06:7,2
29,"Aborto no especificado, completo o no especificado, complicado por hemorragia excesiva o tardía",O:06:6,2
30,"Aborto no especificado, completo o no especificado, con otras complicaciones especificadas y las no especificadas",O:06:8,2
31,"Aborto no especificado, completo o no especificado, sin complicación",O:06:9,2
32,"Aborto no especificado, incompleto, complicado con infección genital y pelviana",O:06:0,2
33,"Aborto no especificado, incompleto, complicado por embolia",O:06:2,2
34,"Aborto no especificado, incompleto, complicado por hemorragia excesiva o tardía",O:06:1,2
35,"Aborto no especificado, incompleto, con otras complicaciones especificadas y las no especificadas",O:06:3,2
36,"Aborto no especificado, incompleto, sin complicación",O:06:4,2
37,Aborto retenido,O:02:1,2
38,Abrasión de los dientes,K:03:1,1
39,Absceso anal,K:61:0,1
40,Absceso anorrectal,K:61:2,1
41,Absceso cerebral feomicótico,B:43:1,1
42,"Absceso cutáneo, furúnculo y ántrax",L:02,1
43,"Absceso cutáneo, furúnculo y ántrax de glúteos",L:02:3,1
44,"Absceso cutáneo, furúnculo y ántrax de la cara",L:02:0,1
45,"Absceso cutáneo, furúnculo y ántrax de miembro",L:02:4,1
46,"Absceso cutáneo, furúnculo y ántrax de otros sitios",L:02:8,1
