columna_normalizada,20240524231759eHmz6DmFKboNQ5Y3OlqNkbi9izmXULaP.xlsx,20240528163342pWf6BcBWj8taVS3Q3mRKxgDsvwPejgH8.xlsx
ano_boleta,1,0
ano_denuncia,0,1
ano_hecho,0,1
area_geo_inf,1,0
cond_alfabetismo_inf,1,0
delito_com,0,1
depto_boleta,1,0
depto_nacimiento_inf,1,0
depto_ocu_hecho,0,1
dia_denuncia,0,1
dia_hecho,0,1
dia_sem_denuncia,0,1
dia_sem_hecho,0,1
edad_agrav,0,1
edad_inf,1,0
edad_quinquenales,1,0
est_conyugal,0,1
est_conyugal_inf,1,0
est_ebriedad_inf,1,0
falta_inf,1,0
g_edad_60ymas,1,1
g_edad_80ymas,1,1
g_edad_de0_80ymas,0,1
g_hora_denuncia,0,1
g_hora_denuncia_man_tar_noch,0,1
g_primarios,1,0
gran_grupos,1,0
grupo_etnico_inf,1,0
hora_denuncia,0,1
mes_boleta,1,0
mes_hecho,0,1
muni_boleta,1,0
mupio_ocu_hecho,0,1
nacimiento_inf,1,0
nacionalidad_inf,1,0
niv_escolaridad_inf,1,0
num_corre,1,1
principales_delitos,0,1
reg_mes,0,1
sexo_agraviados,0,1
sexo_inf,1,0
subg_principales,1,0
zona_ocu_hecho,0,1
