datos_base/Salud/ Morbilidad Grupo Materno Infantil/morbilidad-materna-2012-al-2024.csv,326508
datos_base/Salud/ Morbilidad Grupo Materno Infantil/morbilidad-neonatal-2012-al-2024.csv,181908
datos_base/Salud/Desnutricion/morbilidad-desnutricion-aguda-departamento-municipio-2012-a-2024.csv,19671
datos_base/Salud/Desnutricion/morbilidad-retardo-desarrollo-departamento-municipio-2012-2024.csv,16106
datos_base/Salud/Enfermedades transmitidas por vectores/enfermedades-transmitidas-por-vectores-2012-al-2024-chagas.csv,1557
datos_base/Salud/Enfermedades transmitidas por vectores/enfermedades-transmitidas-por-vectores-2012-al-2024-chikungunya.csv,6010
datos_base/Salud/Enfermedades transmitidas por vectores/enfermedades-transmitidas-por-vectores-2012-al-2024-dengue-grave.csv,1189
datos_base/Salud/Enfermedades transmitidas por vectores/enfermedades-transmitidas-por-vectores-2012-al-2024-dengue.csv,31655
datos_base/Salud/Enfermedades transmitidas por vectores/enfermedades-transmitidas-por-vectores-2012-al-2024-malaria.csv,7060
datos_base/Salud/Enfermedades transmitidas por vectores/enfermedades-transmitidas-por-vectores-2012-al-2024-zika.csv,1727
datos_base/Salud/Enfermedades_Cronicas_2020-2024/mec-2020-departamento-municipio.csv,38650
datos_base/Salud/Enfermedades_Cronicas_2020-2024/mec-2021-departamento-municipio.csv,40016
datos_base/Salud/Enfermedades_Cronicas_2020-2024/mec-2022-departamento-municipio.csv,45437
datos_base/Salud/Enfermedades_Cronicas_2020-2024/mec-2023-departamento-municipio.csv,51986



datos_base/Violencia/Faltas judiciales/20240524231759eHmz6DmFKboNQ5Y3OlqNkbi9izmXULaP.xlsx,17908

datos_base/Violencia/Hechos-Delicitivos/Evaluacion Medicos - INACIF/medicos_inacif.xlsx,148537
datos_base/Violencia/Violencia contra la mujer/Evaluaciones Inacif/Evaluciones realizadas por el INACIF 2008 al 2024.xlsx,479634
datos_base/Violencia/Hechos-Delicitivos/Necropsias/necropsias.xlsx,11038
datos_base/Violencia/Hechos-Delicitivos/Exhumaciones/exhumaciones.xlsx,118


datos_base/Violencia/Hechos-Delicitivos/Agraviados/agraviados.xlsx,444513
datos_base/Violencia/Hechos-Delicitivos/PNC - Detenciados/detenidos.xlsx,45278
datos_base/Violencia/Hechos-Delicitivos/Sindicatos/sindicados.xlsx,362321
datos_base/Violencia/Hechos-Delicitivos/PNC -Victimas/pnc_victimas.xlsx,39968
datos_base/Violencia/Violencia contra la mujer/Delictos contra la vida y feminicidios/Delitos contra la vida de las mujeres y femicidios del MP.xlsx,11246
datos_base/Violencia/Violencia contra la mujer/Denuncias registradas/Denuncias del MP por el delito de VCM.xlsx,672672
datos_base/Violencia/Violencia contra la mujer/Hechos delictivos/Hechos delictivos contra mujeres de 2008 al 2024.xlsx,17421


datos_base/Violencia/Hechos-Delicitivos/Organismo judical - Sentenciados/sentenciados.xlsx,59812
datos_base/Violencia/Violencia contra la mujer/Sentencias por delito/SENTENCIAS DEL Organismo Judicial POR EL DELITO DE Violencia contra la mujerCM 2008-2024.xlsx,11326
datos_base/Violencia/Violencia contra la mujer/Sentencias por delito/Sentencias del Ministerio Publico por el delito de Violencia Contra la Mujer.xlsx,13358

datos_base/Violencia/Violencia contra la mujer/Medidas de seguridad/Medidas de Seguridad 2012-2024.xlsx,4697
datos_base/Violencia/Violencia contra la mujer/Atencion brindada/Atenciones brindades por el Instituto de la Víctima 2020-2023(1).xlsx,5253

datos_base/Violencia/Violencia contra la ninez/Quejas Mineduc/20240719123138C8M6SpIQkU1dO569us4WzmhiEojxPhwf.xlsx,14
datos_base/Violencia/Violencia estructural/CASOS DISCRIMINACIÓN 2016-2023.xls,33

datos_base/Violencia/Violencia intrafamiliar/2023/violencia_intrafamiliar.xlsx,37348
datos_base/Violencia/Violencia intrafamiliar/2024/base-de-datos-violencia-intrafamiliar-ano-2024_v3.xlsx,36609







