tabla,registros
FUENTE_SALUD,0
DENOMINADOR_POBLACIONAL,0
CONDICION_SALUD,0
REGISTRO_SALUD,0
GRUPO_ETARIO_SALUD,0


CASO_MP,0
CASO_NINEZ_TRABAJO_INFANTIL,0
CASO_VIF_ARTICULO_LEGAL,0
CASO_VIF_HOGAR,0
CASO_VIF_MEDIDA_SEGURIDAD,0
CLASIFICACION_EVALUACION,0
EMBARAZO_ADOLESCENTE,0
ESTADO_CASO,0
EVALUACION_MEDICA_INACIF,0
EXHUMACION,0
HOGAR,0
NECROPSIA,0
PERSONA_HOGAR,0
SECTOR_ECONOMICO,0
STG_AGRAVIADOS,0
TIPO_MEDIDA_SEGURIDAD,0
TIPO_RESIDENCIA,0
TIPO_TRABAJO_INFANTIL,0

CONTINENTE,1
ESTADO_ESCOLARIZACION,1
PAIS,1
TIPO_ATENCION,1
TIPO_SENTENCIA,1
TIPO_FALLO,2
AREA_GEOGRAFICA,3
CONDICION_ALFABETICA,3
GENERO,3
TIPO_INSTITUCION,3
ESTADO_EBRIEDAD,4
ESTADO_CIVIL,6
TIPO_FALTA,6
OCUPACION_CLASIFICACION,7
ORIENTACION_SEXUAL,7
TIPO_AGRESION_NINEZ,7
TIPO_AGRESION_INTRAFAMILIAR,10
TIPO_HECHO,11
OCUPACION,12
SEDE,15
IDIOMA_LENGUA,16
PERSONA_OCUPACION,20
DEPARTAMENTO,22
TIPO_DISCRIMINACION,23
INVOLUCRAMIENTO,28
GRUPO_ETNICO,29
ESTADO_DENUNCIA,34
ARTICULO_LEGAL,35
NIVEL_ESCOLARIDAD,49
CLASIFICACION_DELITO,53
IDIOMA_PERSONA,113
VIOLENCIA_ESTRUCTURAL,113
INSTITUCION_ORGANICACION,198
CASO_VIOLENCIA_NINEZ,250
MUNICIPIO,340
CLASIFICACION_OCUPACION,445
DELITO_COMETIDO,526
CASO_VIOLENCIA_INTRAFAMILIAR,993
UBICACION,995
DELITO,1129
DENUNCIA,1892
DENUNCIA_ESTADO_HISTORIAL,1892
MEDIDA_SEGURIDAD,4041
ATENCION_VICTIMA,5253
FALTA,17908
SENTENCIA,43338
SENTENCIA_HECHO,43338
HECHO,428844
PERSONA,429849
INVOLUCRADO_HECHO,1706056
HECHO_DELICTIVO,2834801
